Your daily social media interaction2,"Rate your programming skills (Fluency with languages: C/C++/Python/Java etc. )
(Only for CSE, IT, BCA and MCA students)",Rate your physical activity (Dedicated workout session/sports),Your class attendance,Rate your attention during lectures,"How often do you take references from Google, YouTube, library or any other platform to clear your concepts?",Your daily study duration,Study duration during end-sem exams,How often do you clear doubts/topics of your classmates during group study?,Your SGPA 1,Your SGPA 2,Your SGPA 3,Your SGPA 4
1,6,8,85% - 95%,8,8,2,2,8,8.4,7.9,7.9,8.2
0,9,2,65% - 75%,1,8,0,2,8,7.8,7.5,7.9,7.8
0,8,7,75% - 85%,7,7,1,2,7,7.89,7.95,7.5,8
1,6,6,75% - 85%,7,8,1,0,5,9.3,8.83,8.67,8.68
0,4,9,75% - 85%,6,8,1,1,5,5.78,5.53,6,6
0,6,9,75% - 85%,7,9,1,3,6,6.38,7.51,6.67,7.91
1,9,10,85% - 95%,7,10,2,0,7,7.9,9,8.4,8.5
2,6,8,75% - 85%,8,6,1,3,6,6.46,6.2,5.8,6.21
1,9,6,85% - 95%,6,10,2,2,8,7.3,7.86,8.01,8.27
2,6,9,85% - 95%,7,8,1,2,8,8.13,8.56,7.7,7.8
1,5,5,75% - 85%,9,9,2,3,7,7,7,7.83,7.55
1,7,8,85% - 95%,6,10,3,2,5,7.70 ,7.56,7.33,7.36
2,5,6,85% - 95%,8,10,2,1,6,6.41 ,7.84,5.83,6.45
1,7,9,85% - 95%,8,10,3,1,8,6.78 ,7.67,7.7,7.2
0,3,6,65% - 75%,6,6,1,0,6,6.81 ,7.89,5.17,6.09
2,10,7,85% - 95%,7,7,3,3,10,6.43 ,8.21,7.5,7.91
1,6,3,55% - 65%,4,9,2,3,3,6.90 ,7.3,6.3,6.9
1,5,10,75% - 85%,7,7,2,2,7,6.00 ,6,6,6
0,6,7,75% - 85%,7,8,1,1,5,1.13 ,4.53,4.83,4.5
1,7,10,85% - 95%,8,10,1,2,9,6.50 ,7.2,7,7.3
1,10,8,85% - 95%,8,10,1,2,7,5.20 ,4.9,5.4,6.2
0,5,5,85% - 95%,8,5,2,3,4,7.32 ,8.37,8.33,8.09
1,5,5,85% - 95%,7,8,2,1,4,7.35 ,7.05,5.83,6.91
1,6,8,65% - 75%,8,8,1,3,8,6.49 ,6.68,6.83,6.55
0,3,10,85% - 95%,10,10,0,3,3,6.95 ,7.95,7.67,7.45
0,5,4,85% - 95%,6,7,1,2,4,7.19 ,8.47,8,8.09
1,4,9,75% - 85%,9,8,1,1,8,,,5,6.5
1,7,7,85% - 95%,8,7,1,2,9,8.57 ,8.84,8.33,8.27
2,6,4,85% - 95%,8,7,2,2,1,7.56 ,7.37,6,7.36
0,8,6,75% - 85%,8,8,1,2,7,8.62 ,9.16,9,8.73
0,6,6,65% - 75%,6,9,2,1,5,6.54 ,6.68,4.44,5.54
1,6,10,75% - 85%,7,10,2,1,5,5.53 ,5.6,6.2,6.4
1,8,10,65% - 75%,3,1,0,0,1,6.34 ,8.42,6.5,7.18
